scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
83,-29.535227,6.4017553,32.72957,-27.934057,4.3711305,34.100105,-26.515387,2.4565854,37.02101,-24.96853,0.7727079,38.826557,-22.69315,0.07997036,40.500816
84,-29.687107,6.131908,32.765697,-27.864016,4.3085403,34.146988,-26.388039,2.3975346,37.081615,-24.853664,0.70725965,38.837284,-22.60067,0.025068488,40.535378
85,-29.796392,5.770196,32.80664,-27.799171,4.1749206,34.252148,-26.269276,2.2716641,37.19696,-24.718569,0.5948174,38.923878,-22.471142,-0.0784111,40.640293
86,-29.84952,5.3710213,32.91809,-27.71399,3.9673355,34.393772,-26.116337,2.0746553,37.297775,-24.546259,0.40153953,39.03733,-22.30404,-0.24485727,40.726295
87,-29.803707,4.945098,33.179615,-27.569256,3.6788042,34.59925,-25.87414,1.7964636,37.480217,-24.241041,0.13618188,39.22845,-22.008364,-0.48336154,40.91094
88,-29.635113,4.51236,33.52075,-27.330513,3.3337874,34.903835,-25.54473,1.4662421,37.718204,-23.848022,-0.21561831,39.4707,-21.589333,-0.80146766,41.152016
89,-29.252657,4.123631,33.987556,-26.926601,2.9606164,35.276306,-25.04919,1.0830053,38.102654,-23.32266,-0.60710174,39.867718,-21.055044,-1.2016758,41.51362
90,-28.702099,3.8003898,34.464653,-26.37659,2.6374066,35.75097,-24.448788,0.7682155,38.58366,-22.682636,-0.94173044,40.358078,-20.427685,-1.5587941,42.00665
91,-28.056787,3.5022073,34.897617,-25.790075,2.3142753,36.25936,-23.812027,0.5176184,39.057217,-22.04764,-1.1994492,40.89431,-19.810802,-1.8451614,42.577644
92,-27.446074,3.2098284,35.304253,-25.197325,1.9963754,36.705006,-23.253822,0.265507,39.630817,-21.476234,-1.4182663,41.41309,-19.253992,-2.0871022,43.071926
93,-26.851559,3.0205805,35.77468,-24.638279,1.7545378,37.123085,-22.688892,0.084731564,40.064774,-20.935278,-1.6103055,41.866894,-18.720255,-2.3055396,43.579815
94,-26.313675,2.9232838,36.093143,-24.142996,1.5776051,37.46486,-22.224907,-0.07391511,40.403435,-20.484325,-1.7759445,42.285404,-18.275324,-2.5057304,44.009766
95,-25.81227,2.8590875,36.394737,-23.725155,1.4441416,37.77727,-21.83628,-0.23429652,40.77409,-20.114943,-1.928982,42.5716,-17.916815,-2.7049832,44.366123
96,-25.422401,2.7708428,36.673054,-23.378834,1.3024648,38.070503,-21.514933,-0.38562343,41.01829,-19.798887,-2.1232681,42.88511,-17.614683,-2.9218142,44.669205
97,-25.128109,2.603977,36.912445,-23.095978,1.1357778,38.306828,-21.238913,-0.5623304,41.288433,-19.544128,-2.3084724,43.099964,-17.3498,-3.143604,44.93643
98,-24.864851,2.461223,37.138683,-22.832766,0.9799452,38.512142,-21.02841,-0.71587217,41.5148,-19.303541,-2.4671812,43.331455,-17.118958,-3.3589854,45.1784
99,-24.63106,2.2943285,37.321922,-22.604416,0.82696974,38.72995,-20.801926,-0.86605614,41.77659,-19.123102,-2.611513,43.5447,-16.90354,-3.5166538,45.455383
100,-24.401579,2.1549747,37.50731,-22.39567,0.6856139,38.949028,-20.611412,-0.98441696,41.974575,-18.95632,-2.7203612,43.78391,-16.72952,-3.6577806,45.7426
