participant,method,app_label,app_index,metric,rating
KIN4,TT,APP1,1,wires,8
KIN5,TT,APP1,1,wires,10
KIN7,TT,APP1,1,wires,7.5
KIN3,TT,APP2,2,wires,7
KIN4,TT,APP2,2,wires,10
KIN5,TT,APP2,2,wires,10
KIN7,TT,APP2,2,wires,8.5
KIN3,TT,APP3,3,wires,9
KIN4,TT,APP3,3,wires,10
KIN5,TT,APP3,3,wires,10
KIN7,TT,APP3,3,wires,8
KIN3,TT,APP1,1,overall,9
KIN4,TT,APP1,1,overall,9
KIN5,TT,APP1,1,overall,10
KIN7,TT,APP1,1,overall,8
KIN3,TT,APP2,2,overall,9
KIN4,TT,APP2,2,overall,10
KIN5,TT,APP2,2,overall,10
KIN7,TT,APP2,2,overall,9
KIN3,TT,APP3,3,overall,10
KIN4,TT,APP3,3,overall,10
KIN5,TT,APP3,3,overall,9
KIN7,TT,APP3,3,overall,8.5
