scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
72,1014.5682,774.5604,0.8892214,923.3388,639.3601,0.8245078,877.33734,449.604,0.7734784,852.4616,292.5551,1.0,831.41815,66.03888,0.5143638
73,1074.8496,750.8561,0.88956976,967.27,630.02716,0.7858439,897.7831,445.25415,0.74998915,863.38525,289.19907,1.0,842.98444,63.594482,0.5441749
74,1127.9159,728.19293,0.7166512,1008.7426,617.1177,0.73865163,919.3293,441.5742,0.7813523,873.4694,287.27737,1.0,849.8738,61.57781,0.41450313
75,1168.599,701.99915,0.9305926,1037.965,606.1256,0.81762016,931.0691,440.81454,0.6787652,876.4489,286.48355,1.0,851.0585,59.120518,0.37007007
76,1201.2227,678.7346,0.8256601,1063.2654,593.42426,0.6944411,940.683,436.522,0.7007867,877.2891,285.41385,1.0,850.50256,58.12154,0.3637936
77,1227.2172,652.0095,0.74068826,1084.567,580.99994,0.6763609,949.94244,431.88452,0.6610903,880.95917,284.00122,1.0,852.1642,57.090027,0.45866987
78,1244.7742,633.704,0.7951744,1099.3738,569.8033,0.76267225,957.9235,427.8167,0.57710135,884.2975,282.08813,0.9888372,855.878,55.41891,0.52405924
79,1258.3278,619.59064,0.76352,1110.6556,561.97296,0.7531616,962.3833,424.98795,0.5470321,886.63635,280.73907,0.93852216,856.78143,53.67541,0.5482134
80,1271.9971,604.88214,0.8282211,1120.7744,552.28033,0.61772186,968.7338,421.18777,0.6122009,888.89996,278.664,1.0,857.6622,50.394257,0.55517906
81,1280.65,593.9301,0.6057019,1130.0039,543.81836,0.777912,971.59924,417.0812,0.66889846,890.0952,276.2059,1.0,858.9144,49.14444,0.5442796
