scorer,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radius_styloid_process,radius_styloid_process,radius_styloid_process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
41,1552.7455,835.98047,0.9017231,1182.8036,803.3151,0.7708338,1092.5533,796.4495,0.8953659,754.4916,731.00757,0.9635559,558.00616,708.73865,1.0
42,1550.3207,829.54004,0.7868189,1187.2513,805.7431,0.7959984,1095.7615,797.87463,0.80286205,757.299,733.2785,0.97045827,558.91785,710.46375,0.97502446
43,1524.3926,817.3783,0.7159057,1189.884,807.16174,0.8622831,1099.2643,800.43567,0.8760418,759.3994,734.67346,0.91110843,560.11444,710.9533,0.9561179
44,1492.9963,803.1556,0.70076215,1188.3702,807.0136,0.8387293,1099.8853,800.69073,0.87701684,759.8622,734.9883,0.8895248,560.08997,711.2069,0.93532145
45,1452.2274,789.02264,0.83566445,1186.364,807.383,0.79522425,1100.1035,800.7013,0.8780919,759.8314,734.9461,0.8934485,559.8401,711.12244,0.94619524
46,1434.9219,781.38947,0.8419914,1181.6835,803.7982,0.7559657,1096.6788,797.3509,0.78424263,757.80096,732.8318,0.9585978,559.04456,710.3341,0.9908586
47,1443.2722,781.8195,0.83786154,1178.5486,801.4947,0.70063436,1093.2678,795.61304,0.88521165,754.44116,731.7178,0.92554516,556.31805,710.1002,1.0
48,1475.4202,793.8806,0.7355164,1179.4678,802.65,0.7767595,1093.3788,796.8289,0.86723036,754.22925,734.03424,0.9345133,556.428,712.41846,0.98463345
49,1514.7502,809.0151,0.78633934,1182.1198,803.9491,0.7564621,1093.4766,797.3096,0.84688836,754.02484,734.06464,0.9265914,555.76385,712.3198,1.0
50,1545.157,826.7729,0.7878632,1186.2084,806.3578,0.7924786,1094.1407,799.1294,0.84092003,754.47906,735.8497,0.9522779,555.5075,713.07214,0.9778853
51,1555.6494,841.9445,0.85285455,1186.3014,808.68665,0.82933736,1095.9321,800.1362,0.8411324,755.98645,737.1612,0.97998047,557.1755,714.324,0.9469364
52,1549.6251,849.24927,0.932458,1186.6896,808.3526,0.8177095,1097.3364,800.1254,0.8091265,757.4871,735.0689,0.93216556,559.1503,711.4923,0.97497916
53,1530.2251,850.542,0.9242817,1186.3568,806.82263,0.78065807,1095.7859,797.28973,0.8147984,757.6295,732.3155,0.9319425,559.63727,709.4105,0.9425013
54,1516.6378,850.9423,0.9958333,1186.2461,806.0642,0.78150064,1095.7655,796.93695,0.78803676,757.4106,731.4622,0.9498966,559.441,708.65137,0.972676
55,1512.3666,850.1366,0.8338393,1185.5603,805.01917,0.76559186,1095.422,796.6962,0.8000641,757.30835,730.8806,0.94857776,559.3168,708.3154,1.0
56,1517.5074,849.2891,0.9645391,1182.1089,803.5967,0.7863232,1093.4321,796.35706,0.8821477,755.27594,730.14355,0.93212175,558.97705,707.0137,1.0
57,1525.6959,848.5451,0.7851049,1179.3324,804.6319,0.79652053,1091.4116,797.1073,0.8831291,753.9042,730.8691,0.9041643,557.9097,707.87415,1.0
58,1542.4238,845.5398,0.8851534,1181.4728,804.7887,0.75161195,1092.6359,797.1583,0.89324284,755.0425,730.3956,0.9424361,558.8943,706.5157,1.0
59,1556.23,839.8794,0.7294477,1187.8315,804.39734,0.80506814,1096.3019,796.5139,0.7933497,758.3463,730.1748,1.0,559.97375,706.3801,0.91357285
60,1553.8127,832.6753,0.83231175,1189.8497,806.48376,0.83307695,1098.724,799.826,0.86688715,760.14996,732.4895,0.95317006,560.68677,709.19244,0.95507383
61,1534.0305,821.52716,0.74219084,1189.9198,808.5738,0.85820514,1100.4612,801.68134,0.9010406,760.6843,734.5083,0.88628006,560.71075,710.3967,0.9461711
62,1507.1387,811.9338,0.7817192,1190.1132,809.1489,0.8842988,1102.5981,802.52075,0.89562166,761.12256,735.72894,0.89192647,561.3012,710.50903,0.92109627
63,1484.12,803.8782,0.78414685,1190.1991,809.3408,0.8387497,1103.424,803.34283,0.90176356,761.5516,736.68097,0.92833,561.0904,711.3629,0.908443
64,1477.9469,800.9161,0.6919824,1189.2523,807.1226,0.8154989,1101.8215,801.1722,0.8982155,761.44977,734.39185,0.90415746,560.88043,710.3427,0.92516434
