scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radius_styloid_process,radius_styloid_process,radius_styloid_process,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
60,-1.7885797,-1.9050045,44.413834,4.3322687,-1.7331841,26.799276,5.234069,-1.4537115,24.072073,7.555417,-1.5553318,16.891977,8.566333,-1.4088467,13.66797
61,-1.8212602,-2.7014813,43.942223,4.3290524,-1.7209908,26.785044,5.2158494,-1.45251,24.108562,7.5388494,-1.5621507,16.90128,8.561232,-1.414037,13.666071
62,-1.4624128,-3.3248227,42.642616,4.32757,-1.7394327,26.785437,5.2112803,-1.4671873,24.146704,7.5330024,-1.573685,16.905079,8.555235,-1.4315754,13.676789
63,-1.0640037,-3.667987,41.425587,4.3253813,-1.7338198,26.787914,5.190102,-1.4639665,24.177738,7.5210834,-1.5746063,16.91529,8.546101,-1.4352603,13.67655
64,-1.0103889,-3.671746,41.191006,4.349129,-1.7287722,26.761986,5.214603,-1.4607646,24.139748,7.5380297,-1.5721593,16.913315,8.559703,-1.4244899,13.669434
65,-1.2368617,-3.4776866,42.09429,4.349193,-1.7213871,26.752779,5.217398,-1.4613264,24.129404,7.5413423,-1.5673547,16.909662,8.562324,-1.4185386,13.670305
66,-1.6432036,-3.0285828,43.283863,4.3289967,-1.7264957,26.785799,5.2125354,-1.4579965,24.132591,7.5363026,-1.5711043,16.909798,8.558322,-1.4237925,13.669092
67,-1.933258,-2.320857,44.496826,4.2957973,-1.7581235,26.81943,5.211115,-1.4633087,24.136135,7.5319195,-1.571894,16.894295,8.552186,-1.4335641,13.66636
68,-1.7925701,-1.5189915,44.57908,4.2738304,-1.7565397,26.888868,5.1948233,-1.46189,24.174433,7.52398,-1.5725044,16.92222,8.547676,-1.4326773,13.6869
69,-1.1884575,-0.78544015,43.3549,4.2847276,-1.7404411,26.84146,5.2129006,-1.4543501,24.147955,7.53005,-1.5651574,16.922922,8.558051,-1.4159864,13.690845
70,-0.5040911,-0.2620612,41.70639,4.3020477,-1.7283032,26.839108,5.213705,-1.4521053,24.135895,7.539934,-1.552672,16.92843,8.563351,-1.4121876,13.697426
71,0.21537738,0.061948463,39.911285,4.313107,-1.7312057,26.820383,5.2213573,-1.4562873,24.12736,7.544476,-1.5529648,16.925753,8.565653,-1.4094983,13.70047
72,0.6625231,0.21824652,38.679115,4.325042,-1.723781,26.803867,5.228586,-1.4522477,24.098406,7.5557675,-1.551889,16.912838,8.56949,-1.4078097,13.688354
73,0.8253664,0.2691221,38.27713,4.3257484,-1.7244859,26.803421,5.240238,-1.4584323,24.09663,7.5624266,-1.5519911,16.903109,8.582957,-1.4110984,13.678043
74,0.6745629,0.2005083,38.62874,4.3405695,-1.7430011,26.749073,5.256916,-1.4630166,24.034266,7.5700607,-1.5542923,16.87663,8.595984,-1.40306,13.6654415
75,0.3813636,0.0760774,39.406895,4.3668203,-1.729506,26.604298,5.277706,-1.4486014,23.935776,7.5811133,-1.5471064,16.81677,8.601012,-1.3974562,13.643896
76,-0.2434673,-0.21556728,41.07907,4.358148,-1.7320286,26.668154,5.2697773,-1.4609351,23.980778,7.576534,-1.5541861,16.848867,8.600854,-1.4022632,13.651948
77,-1.0679897,-0.68824327,43.0732,4.3181105,-1.7341812,26.824713,5.236104,-1.4559366,24.083302,7.560611,-1.5547606,16.907587,8.582989,-1.4131135,13.682856
78,-1.6578656,-1.4345386,44.357113,4.3213925,-1.7203648,26.824709,5.228141,-1.4471905,24.09369,7.5546107,-1.5497948,16.91407,8.5720215,-1.4086065,13.688251
79,-1.9259087,-2.3115513,44.51647,4.3233795,-1.7423425,26.836042,5.220578,-1.4612687,24.132685,7.548742,-1.5587603,16.92042,8.566738,-1.4151855,13.691784
80,-1.655502,-3.0169075,43.34304,4.315836,-1.7201604,26.822475,5.2012177,-1.4534872,24.162535,7.5326247,-1.5639505,16.93292,8.560265,-1.4173313,13.688752
81,-1.2219454,-3.515548,41.95581,4.330662,-1.7352403,26.800446,5.200235,-1.4679314,24.178547,7.531538,-1.5740508,16.925135,8.560291,-1.4275206,13.686943
82,-1.1233964,-3.6081567,41.640835,4.33525,-1.7243536,26.796104,5.1961393,-1.4577292,24.17673,7.5308905,-1.5678887,16.935602,8.556427,-1.4212815,13.687894
83,-1.1610056,-3.408433,41.885284,4.3921413,-1.7110765,26.672323,5.246555,-1.4545022,24.041512,7.5681357,-1.5588026,16.851547,8.588355,-1.4064294,13.63721
84,-1.4292192,-2.992458,42.904118,4.42367,-1.7147918,26.54596,5.291245,-1.4468558,23.929482,7.58717,-1.5529448,16.78042,8.593856,-1.4031495,13.59093
85,-1.6712204,-2.3181753,43.88429,4.389729,-1.7142859,26.610777,5.2767773,-1.4431056,23.937605,7.571888,-1.5542921,16.782263,8.586029,-1.405323,13.588393
86,-1.6100619,-1.5518675,44.1317,4.3688426,-1.7288913,26.688744,5.2684846,-1.4626843,23.960323,7.575425,-1.5647663,16.784706,8.578979,-1.4196038,13.589663
87,-1.0652813,-0.77111214,43.05665,4.3597693,-1.7252814,26.688614,5.266126,-1.4520031,23.96482,7.5644646,-1.5523282,16.797323,8.581115,-1.4044867,13.605771
88,-0.30573353,-0.24355882,41.25728,4.362841,-1.7268734,26.64635,5.263316,-1.4489886,23.973845,7.56992,-1.5508902,16.807878,8.586406,-1.4036534,13.614123
89,0.3829571,0.10314805,39.405952,4.346777,-1.7179135,26.71857,5.2622404,-1.4561379,24.008232,7.5648828,-1.5506887,16.847176,8.5824585,-1.4014384,13.639193
90,0.87174946,0.28454718,38.141327,4.321938,-1.7250034,26.787462,5.2279696,-1.449564,24.091547,7.551146,-1.5527235,16.905506,8.564489,-1.408684,13.682566
91,1.1050423,0.33378324,37.47464,4.3310475,-1.7287529,26.77076,5.235546,-1.4529244,24.08732,7.556401,-1.5519446,16.911531,8.571713,-1.4066181,13.690054
92,1.0075489,0.3012533,37.743484,4.3520665,-1.7313768,26.710827,5.2626386,-1.4609985,24.010736,7.573126,-1.5499326,16.861097,8.595954,-1.4028748,13.6605625
93,0.77273124,0.15078007,38.31863,4.451176,-1.7301676,26.39506,5.3375072,-1.450402,23.757692,7.597433,-1.5368924,16.735186,8.610398,-1.3810918,13.610043
94,0.030380921,-0.09727288,40.23655,4.3635907,-1.755328,26.54377,5.2716556,-1.4615744,23.926647,7.563856,-1.5485897,16.836119,8.581444,-1.3968095,13.66957
95,-0.96009606,-0.5179472,42.83271,4.245346,-1.7391044,26.95426,5.172727,-1.4552783,24.254133,7.5200844,-1.5589461,17.011765,8.579314,-1.414526,13.769612
96,-1.6856562,-1.3023661,44.45642,4.267762,-1.7503636,26.942593,5.184816,-1.4640961,24.233955,7.525105,-1.5602411,17.004978,8.582819,-1.4118122,13.765768
97,-2.077775,-2.1614153,45.018177,4.23389,-1.7385912,26.997705,5.144699,-1.4569483,24.294153,7.4996943,-1.5600231,17.024055,8.554508,-1.4094095,13.776662
98,-1.878817,-2.9708905,43.91494,4.260738,-1.741272,26.961912,5.149839,-1.472894,24.303726,7.502161,-1.5717067,17.024036,8.560578,-1.4144692,13.770788
99,-1.3951882,-3.5522988,42.343094,4.2790594,-1.74738,26.915459,5.14962,-1.4822229,24.307695,7.5033097,-1.5755044,17.019651,8.558377,-1.4196353,13.766631
100,-1.0910935,-3.72055,41.39377,4.275476,-1.7162509,26.913588,5.1431336,-1.4615587,24.3089,7.498506,-1.5649254,17.024286,8.555532,-1.4126918,13.772021
101,-1.0287579,-3.660016,41.300587,4.3564816,-1.725033,26.756325,5.2200623,-1.4610219,24.138145,7.546401,-1.5614004,16.928904,8.571683,-1.4177828,13.702891
102,-1.3741744,-3.3393025,42.49549,4.3452067,-1.7156838,26.773174,5.21333,-1.4556956,24.133518,7.5418167,-1.557418,16.924631,8.566515,-1.4137512,13.696208
103,-1.7996058,-2.7712533,43.854343,4.327491,-1.7234342,26.810387,5.2156553,-1.458145,24.132254,7.5493174,-1.5579011,16.919401,8.567954,-1.4139972,13.693446
104,-1.921417,-1.9895332,44.64018,4.305432,-1.7532436,26.840677,5.216331,-1.4615707,24.135822,7.540273,-1.5709921,16.923206,8.565852,-1.4216506,13.685805
105,-1.6400526,-1.0634441,44.327175,4.2147436,-1.7471615,26.99872,5.143961,-1.4680624,24.271786,7.4882026,-1.5727489,16.995169,8.536098,-1.4300531,13.744375
106,-0.9471519,-0.45288005,42.736156,4.202679,-1.7545359,27.116533,5.125837,-1.4838797,24.37852,7.4810724,-1.5740873,17.088837,8.538624,-1.4200605,13.82797
