scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
49,916.6279,643.82263,0.8414003,922.45593,485.02463,0.71309364,929.343,324.58072,0.9051834,917.7773,109.73279,0.9167556,935.0152,23.529293,1.0
50,916.5094,643.78796,0.83607763,922.34155,484.9708,0.7111665,929.31964,324.56522,0.89876664,917.70526,109.67626,0.9211738,935.06104,23.573477,1.0
51,916.55133,643.9255,0.83262485,922.5199,484.78998,0.7023334,929.2232,324.7503,0.8870846,917.6666,110.055786,0.9218645,935.0088,23.53583,1.0
52,916.62646,644.086,0.80728626,922.4683,484.7555,0.70335305,929.14795,324.73624,0.89915204,917.6616,110.06841,0.9201524,935.0098,23.538097,1.0
53,916.56714,643.92426,0.8272536,922.33136,484.90714,0.7025579,929.08923,324.70346,0.89603335,917.52423,109.97518,0.91890806,934.728,23.439047,1.0
54,916.49786,643.8098,0.837628,922.2902,484.87973,0.70706433,929.1364,324.5776,0.89586604,917.5685,109.93213,0.9179271,934.70966,23.483482,1.0
55,916.5674,643.8136,0.83177793,922.4951,484.8882,0.7019513,929.15283,324.54013,0.89038926,917.413,109.96474,0.91578215,934.7477,23.451647,1.0
56,916.6226,643.68616,0.83738476,922.2312,485.08307,0.6951793,929.0421,324.50897,0.896527,917.45483,109.87538,0.92314297,934.74426,23.547432,1.0
57,916.5858,643.6655,0.83267206,922.2319,484.9797,0.70600015,929.101,324.35587,0.90186346,917.4938,109.89172,0.9134003,934.7438,23.464487,1.0
58,916.706,643.705,0.8309483,922.2426,484.9878,0.70582706,929.23615,324.21838,0.8953622,917.78864,109.855095,0.9189965,934.9791,23.560326,1.0
59,916.78534,643.61127,0.80717546,922.2881,484.75107,0.7054004,929.22565,324.17282,0.9041527,917.8315,109.62613,0.92277193,934.97406,23.340412,1.0
60,916.63654,643.4891,0.8355848,922.305,484.71057,0.7117672,929.2673,324.05383,0.8967422,917.9219,109.387085,0.91589266,934.81244,23.218964,1.0
61,916.698,643.58887,0.8293945,922.44824,484.68732,0.7137213,929.21423,324.08963,0.8966839,917.88525,109.5297,0.9230113,935.15894,23.388525,1.0
62,916.90955,643.49146,0.81329006,922.6271,484.6857,0.70994,929.2716,324.1269,0.8948943,917.8828,109.19493,0.92297137,935.1391,23.082222,1.0
63,916.9907,643.529,0.80955553,922.63116,484.6817,0.7142173,929.2699,324.16895,0.8985571,917.783,109.08688,0.91284555,934.62384,23.109793,1.0
64,917.20276,643.45123,0.809268,922.7007,484.69534,0.7216241,929.22925,324.1351,0.88659054,917.6191,109.121666,0.90614814,934.695,23.171392,1.0
65,917.2756,643.53485,0.8042024,922.6295,484.82614,0.72296685,929.29156,324.09256,0.89303356,917.675,109.07837,0.898813,934.6187,23.173847,1.0
66,917.46075,643.671,0.7919425,922.66486,484.76654,0.7135032,929.2782,324.0959,0.8961969,917.5728,109.01364,0.90142345,934.4972,23.193666,1.0
67,917.9442,643.61865,0.78298074,922.7428,484.86835,0.7195204,929.2809,324.15637,0.8823883,917.55475,108.98973,0.89809614,934.40344,23.210854,1.0
68,919.02795,643.69836,0.7532852,922.8053,484.92728,0.72923106,929.3118,324.15186,0.8972963,917.56274,109.016975,0.88872296,934.34143,23.17323,1.0
69,919.2357,643.42847,0.7512066,922.8318,484.84515,0.72627956,929.26685,324.2323,0.9046273,917.40875,109.07829,0.89616853,934.1541,23.304129,1.0
70,919.72754,643.01337,0.706412,922.7869,484.81265,0.7205683,929.17847,324.26892,0.9035002,917.3408,109.08692,0.89347017,934.2255,23.319553,1.0
71,920.576,643.26465,0.6565801,922.86487,484.60583,0.71556735,929.176,324.59384,0.88232255,917.15283,108.95586,0.89817953,934.1887,23.309484,1.0
72,921.72754,643.0906,0.59172183,922.94415,484.50125,0.7218771,929.23413,324.42603,0.9333427,917.1609,108.9514,0.8915031,934.1688,23.30531,1.0
73,923.7517,642.9318,0.6090963,923.0841,484.38696,0.72388107,929.00793,324.9181,0.8867648,916.9046,108.98016,0.9028567,934.11835,23.485706,1.0
74,930.1465,642.4641,0.7421683,923.33826,484.14078,0.73599774,928.6183,325.00742,0.85840935,916.4715,109.659744,0.91408,933.96484,23.602337,1.0
75,930.6495,642.5228,0.73829466,923.30084,484.2075,0.741184,928.6736,324.99353,0.86449325,916.1969,109.62265,0.926607,933.7114,23.578386,1.0
76,932.2036,642.2379,0.7832687,923.6224,483.8045,0.7381444,928.56445,325.06253,0.86153847,916.553,109.29339,0.9187212,933.9403,23.340391,1.0
77,944.92017,640.066,0.57146835,924.58624,482.81555,0.7710201,928.61096,325.10718,0.8359644,916.51514,109.29429,0.92150205,933.82697,23.293892,1.0
78,951.25275,638.791,0.6769941,924.86523,482.18985,0.78041244,928.07983,325.4304,0.8721356,916.16425,109.23562,0.91384494,933.5891,23.319666,1.0
79,955.0732,637.4824,0.56621724,925.2783,481.7572,0.79019606,927.9963,325.58563,0.83786213,916.28925,109.36455,0.93141246,933.7964,23.340586,1.0
80,959.4459,635.7514,0.6532072,925.3056,481.19492,0.8128833,927.65106,326.24112,0.83430934,916.0194,109.57358,0.9262405,933.8731,23.564161,1.0
81,964.10693,634.3179,0.7054579,925.24445,480.81424,0.81751275,927.5852,326.3925,0.8216447,916.1308,109.31628,0.9232778,933.88385,23.519674,1.0
82,964.15265,634.308,0.71157825,925.2356,480.63544,0.81559736,927.41675,326.1634,0.8337696,915.90045,109.71017,0.93555576,933.863,23.656115,1.0
83,968.8714,631.35516,0.5541008,925.7133,479.90793,0.8491099,927.1673,326.49377,0.83201915,915.8839,109.71568,0.93452066,933.86707,23.653568,1.0
84,974.39606,627.89813,0.53471595,925.87274,479.28467,0.85244447,926.72266,326.49905,0.8214668,915.56604,109.897125,0.9223888,933.56323,23.639156,1.0
85,976.4784,627.0184,0.5841185,925.9388,478.8049,0.85732305,926.545,326.66656,0.813785,915.5409,109.919464,0.9254258,933.49176,23.559849,1.0
86,981.86694,624.3564,0.6540172,926.08466,478.44327,0.9202282,926.3084,326.8711,0.79061615,915.5165,109.98744,0.92687917,933.54956,23.690516,1.0
87,983.89484,621.9686,0.6316964,926.1993,477.95444,0.92139506,926.2629,326.8802,0.8004742,915.3957,110.01904,0.9174196,933.4962,23.64795,1.0
88,985.4178,622.30347,0.62191653,926.2147,477.83997,0.9351462,926.2688,326.97583,0.7864433,915.45825,110.18706,0.9244341,933.8343,23.811172,0.990106
89,990.18365,618.462,0.53060025,926.1748,476.95798,0.96661824,925.94635,326.86865,0.81854415,915.4758,110.38673,0.9247095,933.83405,23.838741,0.9974086
90,996.7466,613.75903,0.67718995,926.4551,475.793,0.9416558,925.88196,326.97476,0.80046755,915.50574,110.38051,0.9299559,933.8305,23.80245,1.0
91,1002.73486,608.822,0.58390564,926.4869,474.29062,0.8631361,925.67773,326.79614,0.7986609,915.3055,110.855576,0.926873,933.4788,24.19306,1.0
92,1007.0998,604.73663,0.606694,926.6754,472.69778,0.8184603,925.50916,326.84634,0.8037159,915.492,110.789474,0.92623824,934.08264,24.082836,1.0
93,1012.5021,599.8195,0.7031174,926.29456,471.99124,0.8052323,925.5474,326.83124,0.80898166,915.68506,110.84693,0.9369086,934.2937,24.102278,0.99622583
94,1016.02026,596.53253,0.708876,926.4503,471.11615,0.8154264,925.464,326.84213,0.79302037,915.8504,110.94365,0.930086,934.28107,24.327866,0.97668386
95,1018.2701,592.1732,0.61845946,926.5209,470.17343,0.84859854,925.51495,326.83557,0.7942463,916.0544,110.68288,0.9427522,934.572,24.18164,0.9870117
96,1021.62805,587.75165,0.6017691,926.1251,469.3392,0.8487372,925.44165,326.9383,0.7916303,916.1104,110.43522,0.93664956,934.8492,24.220385,0.9890238
97,1028.3663,579.9675,0.79634863,926.70026,467.28543,0.8241278,925.177,326.78598,0.76378214,916.21606,110.34927,0.93774486,934.8558,24.216324,0.9972405
98,1033.9835,570.8794,0.59845185,926.2351,464.82654,0.81740403,924.9202,326.736,0.76449317,916.30927,110.38067,0.94413817,934.9783,24.195189,0.994693
99,1036.9991,563.57697,0.6303812,926.5483,463.439,0.8857013,924.3878,326.7622,0.7689173,916.37524,110.34618,0.9453582,934.8557,24.240194,0.99888915
100,1040.437,557.2398,0.6438228,926.32,461.9682,0.9634832,924.0557,326.70926,0.7572148,916.47314,110.36066,0.9522533,934.91504,24.305277,1.0
101,1044.8544,550.91187,0.7288958,926.21594,460.95828,0.9532817,923.9912,326.5699,0.7873691,916.76697,110.39908,0.9458123,935.0031,24.28209,0.98241526
102,1045.8118,545.1497,0.7879142,926.0345,460.35757,0.9704802,922.7456,326.6834,0.74456877,916.56476,110.39706,0.9427104,934.8194,24.479849,0.9790171
103,1047.2837,540.3444,0.6210135,925.40094,459.60095,0.9788925,922.5501,326.9515,0.7401623,916.3953,110.390854,0.944954,934.7436,24.454273,0.9934743
104,1048.6582,536.4413,0.632369,925.30646,458.95206,0.975551,922.7269,326.9658,0.74574244,916.4151,110.44584,0.9428523,934.76245,24.444448,1.0
105,1050.7129,531.6136,0.60675293,925.2667,458.6334,0.9592815,922.48663,326.8627,0.7373357,916.4173,110.66769,0.9481449,935.1429,24.38501,0.9683802
106,1050.7415,530.3588,0.63162273,925.26965,458.46902,0.9496387,922.3501,326.35913,0.76620793,916.32886,110.58748,0.94738626,935.0956,24.387524,0.974848
107,1050.7963,530.01355,0.62881184,925.2115,458.4698,0.956457,922.1217,326.96432,0.7625494,916.377,110.668655,0.94756305,935.10443,24.385777,0.9629635
108,1050.6814,529.5977,0.68054384,925.2794,458.37543,0.93817747,922.1807,326.79382,0.7644279,916.41046,110.621956,0.943662,935.14465,24.36509,0.9759624
109,1051.1791,527.7205,0.7551744,925.2253,458.0786,0.9288015,922.1341,326.47928,0.76772887,916.2891,110.68516,0.94043446,934.8197,24.630741,0.9890158
110,1051.2699,526.06805,0.7202462,925.2381,458.09225,0.9382452,922.1452,326.4466,0.78066397,916.2461,110.684235,0.9496621,934.8696,24.675772,0.9968351
111,1051.5066,525.55,0.68864703,925.2216,457.81836,0.92727005,922.0205,326.53226,0.785896,916.2361,110.71794,0.94397324,934.9517,24.523079,0.9719943
112,1051.5143,525.71124,0.704227,925.1783,457.66626,0.9300218,921.8684,326.52448,0.8086958,916.22473,110.711136,0.93214345,934.5045,24.668766,1.0
113,1051.3778,525.76984,0.6918798,925.0562,457.7242,0.9168352,921.94995,326.43597,0.8033838,916.2316,110.74751,0.92826813,934.5474,24.664995,1.0
114,1051.1183,525.88605,0.7220047,925.07135,457.9441,0.912552,921.9259,326.48584,0.7909084,916.1052,110.610245,0.92429453,934.6331,24.649914,0.99190664
115,1051.0538,527.6469,0.74194944,925.0655,458.2713,0.920032,922.21924,326.4879,0.77514046,915.95123,110.66767,0.93273765,934.4,24.604828,0.97965646
116,1051.334,529.22516,0.6881049,925.05304,458.3094,0.93042547,922.34906,326.43713,0.77940613,915.6864,110.49254,0.94202256,934.08606,24.522644,0.9625255
117,1050.4777,533.2685,0.5344996,924.9095,458.72153,0.9379545,922.62854,326.60767,0.7357237,915.20056,110.366806,0.9446292,934.1311,24.463017,0.9563306
118,1047.7737,542.4115,0.7490374,925.81616,460.33594,0.9344305,924.2198,326.70587,0.8186154,915.34796,110.09942,0.96020746,933.96375,24.300007,0.9675286
119,1042.4985,557.15216,0.66216505,926.0594,462.37885,0.96206135,924.5301,326.46915,0.81244594,915.4221,110.27996,0.9615156,933.9497,24.270702,0.97371066
120,1034.9678,568.7582,0.6622662,925.91077,464.93805,0.8378298,924.67566,326.37115,0.8187921,915.22754,110.41083,0.94913167,933.79736,24.025656,1.0
121,1028.6163,578.9423,0.8617437,924.85986,468.13223,0.8458901,924.8326,326.33542,0.7966128,915.2036,110.36205,0.9479918,933.6389,24.05737,1.0
122,1023.37537,585.6371,0.62330073,924.6934,469.06,0.854961,924.8112,326.40628,0.78789604,915.1455,110.26238,0.95954925,933.76636,23.93314,1.0
123,1020.0043,590.905,0.6982928,924.62665,470.10638,0.8270475,924.8716,326.12976,0.8205454,915.03485,110.227844,0.9539205,933.4832,23.74331,1.0
124,1019.526,591.42365,0.6571152,924.61224,470.11533,0.8360399,924.7836,326.1413,0.8204858,914.9482,110.09868,0.9548635,933.49805,23.73219,1.0
125,1016.9036,594.08734,0.72743493,924.4247,469.83878,0.82134014,924.92993,325.6275,0.80197513,915.4399,109.84422,0.9425834,934.06226,23.775892,1.0
126,1008.18427,602.33624,0.5816031,924.56335,471.98526,0.8108081,925.3801,325.56592,0.82479626,915.46954,109.980606,0.9389148,934.068,23.770578,1.0
127,1004.7903,606.19965,0.55397004,924.7928,472.9883,0.86039585,925.63794,325.53622,0.8328836,915.73676,109.76145,0.9477911,934.1133,23.614946,1.0
128,988.8196,617.16174,0.5353702,925.0707,476.04288,0.95802945,925.90393,325.2596,0.8273863,916.0816,109.59007,0.9498794,934.8509,23.55549,1.0
129,975.6396,625.3617,0.59703064,925.23773,478.23074,0.8910403,926.3648,325.11386,0.7986222,916.23456,109.63715,0.94243675,935.043,23.466284,1.0
130,970.74146,627.3218,0.5242144,925.216,478.26492,0.8749615,926.3324,324.83344,0.8148976,916.7095,109.39019,0.91464245,935.4923,23.306932,1.0
131,969.0929,628.08813,0.6231147,925.2205,478.41055,0.87191945,926.672,324.56506,0.79466426,916.99963,109.40302,0.9218435,935.5989,23.16346,1.0
132,958.6353,631.7837,0.511733,925.1332,479.21722,0.84193283,927.29913,324.35202,0.809511,917.10785,109.23255,0.9214575,935.91644,23.20815,1.0
133,954.99713,633.5971,0.5808673,925.03235,479.28824,0.83498317,927.706,323.79544,0.8002137,917.19257,108.9189,0.90714186,935.89825,23.169172,1.0
