ADC Value,Timestamp
-147.0,20250313_135041_806
-146.0,20250313_135042_056
-146.0,20250313_135042_307
-146.0,20250313_135042_558
-146.0,20250313_135042_808
-146.0,20250313_135043_059
-146.0,20250313_135043_309
-146.0,20250313_135043_560
-146.0,20250313_135043_810
-146.0,20250313_135044_060
-146.0,20250313_135044_311
-146.0,20250313_135044_562
-147.0,20250313_135044_813
-146.0,20250313_135045_063
-146.0,20250313_135045_314
-147.0,20250313_135045_565
-147.0,20250313_135045_815
-146.0,20250313_135046_066
-147.0,20250313_135046_317
-146.0,20250313_135046_567
-147.0,20250313_135046_818
-146.0,20250313_135047_069
-146.0,20250313_135047_319
-146.0,20250313_135047_570
-146.0,20250313_135047_820
-146.0,20250313_135048_071
-147.0,20250313_135048_321
-147.0,20250313_135048_572
-147.0,20250313_135048_822
-147.0,20250313_135049_073
-146.0,20250313_135049_323
-146.0,20250313_135049_574
-146.0,20250313_135049_824
-146.0,20250313_135050_075
-147.0,20250313_135050_325
