timestamp,quat1,quat2
040021574668,"(0.74468994140625, 0.02667236328125, 0.66595458984375, -0.03485107421875)","(0.717041015625, 0.13818359375, 0.6824951171875, -0.03106689453125)"
040021578259,"(0.744384765625, 0.026611328125, 0.666259765625, -0.03485107421875)","(None, None, None, None)"
040021580872,"(0.744384765625, 0.026611328125, 0.666259765625, -0.03485107421875)","(0.717041015625, 0.13818359375, 0.6824951171875, -0.03106689453125)"
040021585762,"(0.744384765625, 0.026611328125, 0.666259765625, -0.03485107421875)","(0.7171630859375, 0.137939453125, 0.68243408203125, -0.0308837890625)"
040021589183,"(0.7442626953125, 0.02667236328125, 0.66644287109375, -0.03497314453125)","(0.7171630859375, 0.137939453125, 0.68243408203125, -0.0308837890625)"
040021594499,"(None, None, None, None)","(None, None, None, None)"
040021595793,"(0.7442626953125, 0.02667236328125, 0.66644287109375, -0.03497314453125)","(None, None, None, None)"
040021599443,"(0.7440185546875, 0.02642822265625, 0.66668701171875, -0.03533935546875)","(0.71722412109375, 0.13763427734375, 0.682373046875, -0.031005859375)"
040021603132,"(0.7440185546875, 0.02642822265625, 0.66668701171875, -0.03533935546875)","(0.716796875, 0.13775634765625, 0.68280029296875, -0.03082275390625)"
040021608721,"(0.74359130859375, 0.02655029296875, 0.66717529296875, -0.03533935546875)","(None, None, None, None)"
040021610924,"(0.74359130859375, 0.02655029296875, 0.66717529296875, -0.03533935546875)","(0.716796875, 0.13775634765625, 0.68280029296875, -0.03082275390625)"
040021614308,"(0.74359130859375, 0.02655029296875, 0.66717529296875, -0.03533935546875)","(None, None, None, None)"
040021618626,"(0.742919921875, 0.0269775390625, 0.6678466796875, -0.03558349609375)","(0.71636962890625, 0.13763427734375, 0.68328857421875, -0.03106689453125)"
040021622109,"(0.742919921875, 0.0269775390625, 0.6678466796875, -0.03558349609375)","(0.71588134765625, 0.1378173828125, 0.68377685546875, -0.03118896484375)"
040021626879,"(0.742919921875, 0.0269775390625, 0.6678466796875, -0.03558349609375)","(None, None, None, None)"
040021629355,"(0.74249267578125, 0.0272216796875, 0.6683349609375, -0.03515625)","(0.71588134765625, 0.1378173828125, 0.68377685546875, -0.03118896484375)"
040021634655,"(0.74249267578125, 0.0272216796875, 0.6683349609375, -0.03515625)","(0.7154541015625, 0.137939453125, 0.6842041015625, -0.0311279296875)"
040021638604,"(0.74188232421875, 0.02691650390625, 0.6690673828125, -0.03509521484375)","(0.7154541015625, 0.137939453125, 0.6842041015625, -0.0311279296875)"
040021643837,"(0.74188232421875, 0.02691650390625, 0.6690673828125, -0.03509521484375)","(0.71527099609375, 0.137939453125, 0.6844482421875, -0.0308837890625)"
040021647884,"(0.74127197265625, 0.02606201171875, 0.66973876953125, -0.0352783203125)","(0.71527099609375, 0.137939453125, 0.6844482421875, -0.0308837890625)"
040021651921,"(0.74127197265625, 0.02606201171875, 0.66973876953125, -0.0352783203125)","(None, None, None, None)"
040021654154,"(0.74127197265625, 0.02606201171875, 0.66973876953125, -0.0352783203125)","(0.715087890625, 0.1378173828125, 0.68463134765625, -0.03082275390625)"
040021659987,"(0.7406005859375, 0.02593994140625, 0.6705322265625, -0.034912109375)","(None, None, None, None)"
040021662169,"(0.7406005859375, 0.02593994140625, 0.6705322265625, -0.034912109375)","(0.715087890625, 0.1378173828125, 0.68463134765625, -0.03082275390625)"
040021666277,"(0.7406005859375, 0.02593994140625, 0.6705322265625, -0.034912109375)","(None, None, None, None)"
040021670117,"(0.739990234375, 0.025634765625, 0.67120361328125, -0.0352783203125)","(None, None, None, None)"
040021672798,"(0.739990234375, 0.025634765625, 0.67120361328125, -0.0352783203125)","(None, None, None, None)"
040021675769,"(0.739990234375, 0.025634765625, 0.67120361328125, -0.0352783203125)","(None, None, None, None)"
040021677938,"(0.739990234375, 0.025634765625, 0.67120361328125, -0.0352783203125)","(0.7147216796875, 0.1378173828125, 0.68499755859375, -0.03082275390625)"
040021682157,"(0.73944091796875, 0.02593994140625, 0.6717529296875, -0.0352783203125)","(None, None, None, None)"
040021685218,"(0.73944091796875, 0.02593994140625, 0.6717529296875, -0.0352783203125)","(0.71502685546875, 0.13763427734375, 0.6846923828125, -0.0308837890625)"
040021688735,"(0.73883056640625, 0.0263671875, 0.67242431640625, -0.03533935546875)","(None, None, None, None)"
040021691089,"(0.73883056640625, 0.0263671875, 0.67242431640625, -0.03533935546875)","(None, None, None, None)"
040021693658,"(0.73883056640625, 0.0263671875, 0.67242431640625, -0.03533935546875)","(0.7149658203125, 0.13775634765625, 0.68475341796875, -0.03094482421875)"
040021698018,"(0.7384033203125, 0.026611328125, 0.67291259765625, -0.035400390625)","(0.7149658203125, 0.13775634765625, 0.68475341796875, -0.03094482421875)"
040021702006,"(0.7384033203125, 0.026611328125, 0.67291259765625, -0.035400390625)","(None, None, None, None)"
040021704252,"(0.7384033203125, 0.026611328125, 0.67291259765625, -0.035400390625)","(None, None, None, None)"
040021708795,"(0.73773193359375, 0.027587890625, 0.673583984375, -0.0352783203125)","(None, None, None, None)"
040021711247,"(0.73773193359375, 0.027587890625, 0.673583984375, -0.0352783203125)","(0.71466064453125, 0.13763427734375, 0.68511962890625, -0.03125)"
040021714549,"(0.73773193359375, 0.027587890625, 0.673583984375, -0.0352783203125)","(None, None, None, None)"
040021718898,"(0.73736572265625, 0.02728271484375, 0.67401123046875, -0.03546142578125)","(0.7144775390625, 0.13763427734375, 0.685302734375, -0.0313720703125)"
040021722865,"(0.73736572265625, 0.02728271484375, 0.67401123046875, -0.03546142578125)","(0.7144775390625, 0.13763427734375, 0.685302734375, -0.0313720703125)"
040021727772,"(0.73736572265625, 0.02728271484375, 0.67401123046875, -0.03546142578125)","(None, None, None, None)"
040021730309,"(0.7369384765625, 0.027099609375, 0.67449951171875, -0.03564453125)","(0.71441650390625, 0.13751220703125, 0.68536376953125, -0.03131103515625)"
040021735557,"(0.7369384765625, 0.027099609375, 0.67449951171875, -0.03564453125)","(0.7144775390625, 0.136962890625, 0.68536376953125, -0.0313720703125)"
040021739229,"(0.73638916015625, 0.02691650390625, 0.675048828125, -0.03631591796875)","(None, None, None, None)"
040021741419,"(0.73638916015625, 0.02691650390625, 0.675048828125, -0.03631591796875)","(None, None, None, None)"
040021744011,"(0.73638916015625, 0.02691650390625, 0.675048828125, -0.03631591796875)","(0.71417236328125, 0.13690185546875, 0.68572998046875, -0.03118896484375)"
040021748769,"(0.73614501953125, 0.02703857421875, 0.67529296875, -0.03631591796875)","(0.71417236328125, 0.13690185546875, 0.68572998046875, -0.03118896484375)"
040021752568,"(0.73614501953125, 0.02703857421875, 0.67529296875, -0.03631591796875)","(None, None, None, None)"
040021754767,"(0.73614501953125, 0.02703857421875, 0.67529296875, -0.03631591796875)","(0.7139892578125, 0.13690185546875, 0.68597412109375, -0.0311279296875)"
040021760421,"(0.7357177734375, 0.028076171875, 0.67572021484375, -0.03594970703125)","(0.7139892578125, 0.13690185546875, 0.68597412109375, -0.0311279296875)"
040021763781,"(0.7357177734375, 0.028076171875, 0.67572021484375, -0.03594970703125)","(None, None, None, None)"
040021767847,"(0.7357177734375, 0.028076171875, 0.67572021484375, -0.03594970703125)","(None, None, None, None)"
040021771264,"(0.73541259765625, 0.02886962890625, 0.676025390625, -0.03619384765625)","(0.7138671875, 0.13677978515625, 0.68609619140625, -0.0308837890625)"
040021776375,"(0.73541259765625, 0.02886962890625, 0.676025390625, -0.03619384765625)","(0.71356201171875, 0.136474609375, 0.6865234375, -0.0306396484375)"
040021780029,"(0.73529052734375, 0.02899169921875, 0.67620849609375, -0.03594970703125)","(None, None, None, None)"
040021782290,"(0.73529052734375, 0.02899169921875, 0.67620849609375, -0.03594970703125)","(0.71356201171875, 0.136474609375, 0.6865234375, -0.0306396484375)"
040021787880,"(0.73529052734375, 0.02899169921875, 0.67620849609375, -0.03594970703125)","(0.71319580078125, 0.1368408203125, 0.686767578125, -0.030517578125)"
040021791448,"(0.7349853515625, 0.02984619140625, 0.676513671875, -0.0360107421875)","(0.71319580078125, 0.1368408203125, 0.686767578125, -0.030517578125)"
040021796753,"(0.7349853515625, 0.02984619140625, 0.676513671875, -0.0360107421875)","(None, None, None, None)"
040021800651,"(0.73468017578125, 0.02978515625, 0.67681884765625, -0.03594970703125)","(0.71270751953125, 0.1370849609375, 0.687255859375, -0.03057861328125)"
040021804122,"(0.73468017578125, 0.02978515625, 0.67681884765625, -0.03594970703125)","(None, None, None, None)"
040021808517,"(0.73455810546875, 0.02935791015625, 0.677001953125, -0.03564453125)","(0.712890625, 0.13751220703125, 0.68701171875, -0.03045654296875)"
040021812571,"(0.73455810546875, 0.02935791015625, 0.677001953125, -0.03564453125)","(None, None, None, None)"
040021815014,"(0.73455810546875, 0.02935791015625, 0.677001953125, -0.03564453125)","(None, None, None, None)"
040021819405,"(0.73431396484375, 0.02984619140625, 0.67724609375, -0.03533935546875)","(0.712890625, 0.1378173828125, 0.68695068359375, -0.03033447265625)"
040021823251,"(0.73431396484375, 0.02984619140625, 0.67724609375, -0.03533935546875)","(0.712890625, 0.1378173828125, 0.68695068359375, -0.03033447265625)"
040021828514,"(0.73431396484375, 0.02984619140625, 0.67724609375, -0.03533935546875)","(None, None, None, None)"
