scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
68,1030.5706,631.13275,0.51407605,1005.20526,467.1328,0.6713156,965.5183,283.50226,0.78187096,943.9169,143.08711,1.0,943.8028,143.51212,0.22173548
69,1047.3556,714.33984,0.6500424,1005.22845,467.15207,0.6720954,965.18036,283.89777,0.80128944,943.73816,143.39183,1.0,943.58167,143.70656,0.22214676
70,1062.5206,714.60767,0.55669236,1006.5756,464.7307,0.77902323,964.97534,284.09357,0.80026966,943.4279,143.38348,1.0,943.3196,143.7447,0.18968552
71,1065.376,621.03973,0.9444049,1007.5642,464.4928,0.7829049,964.73694,284.85233,0.75292075,942.66064,144.15851,1.0,942.6274,144.17992,0.23830535
72,1076.9587,617.55493,0.8701727,1008.7789,465.52878,0.772146,964.5598,284.95917,0.82361233,941.62665,144.4384,1.0,941.95374,145.05876,0.25480253
73,1088.8613,612.0889,1.0,1009.21936,465.2776,0.78535837,963.9663,285.61804,0.7662046,941.0138,144.3653,1.0,941.31836,145.1243,0.23642401
74,1101.2898,603.3941,0.863396,1010.03564,465.37262,0.8894269,963.8884,286.50262,0.69490165,941.0375,144.57085,1.0,941.26154,145.56122,0.22309259
75,1108.0198,599.1134,0.718301,1010.53485,465.29636,0.8967588,963.64264,286.43884,0.6734501,940.86945,144.92363,1.0,941.0682,145.95192,0.20160915
76,1114.8241,591.5054,0.7962142,1010.84644,464.92728,0.89367443,963.66736,286.13776,0.6967572,940.7233,145.09897,1.0,941.0224,146.10866,0.19429055
77,1120.8975,585.9946,0.7782789,1011.0969,464.58344,0.95593727,963.5841,286.73444,0.6868667,940.5701,145.18983,1.0,940.8367,146.35335,0.2066777
78,1129.1405,576.78143,0.6847418,1011.5482,464.2073,0.95268553,963.25836,286.9173,0.70233643,940.4752,145.41336,1.0,940.72687,146.51527,0.1824633
79,1136.3129,567.59814,0.9141721,1012.1337,462.54742,0.932619,962.7931,287.75156,0.6118222,940.3414,145.79062,1.0,940.65137,146.9175,0.1645109
80,1142.6633,556.65094,0.8308041,1011.9127,461.75125,0.97302103,962.7549,287.80258,0.5952169,940.13727,146.01556,1.0,941.2201,147.02922,0.16298221
81,1148.365,543.4788,0.79690546,1012.2443,461.03873,0.97502095,961.6681,288.16666,0.52447397,940.1911,146.00342,1.0,940.4698,146.92702,0.16538598
82,1151.3988,534.8831,0.69480944,1012.84564,460.10013,0.97853017,961.4851,288.60892,0.54183865,939.90173,146.24165,1.0,1009.4678,180.42639,0.1699482
83,1156.074,524.6987,0.80822474,1013.45215,459.0767,1.0,961.0588,288.64307,0.54725593,939.58417,146.6018,1.0,939.85504,147.71901,0.1802244
84,1157.5448,515.1883,0.87269545,1013.77704,457.3584,1.0,960.6477,289.0455,0.58148026,939.12036,146.89896,1.0,939.47546,148.13538,0.17971121
85,1159.3558,508.8314,0.9564076,1013.7953,457.0991,1.0,960.73865,288.87067,0.57399195,938.81647,147.30768,1.0,939.2079,148.57323,0.16715357
86,1158.2206,514.7014,0.8689591,1013.79584,457.11414,1.0,960.7038,288.5685,0.5518952,939.4142,146.43771,1.0,939.65814,147.57973,0.1608939
87,1150.2306,539.0289,0.939732,1012.87494,460.27087,0.93541205,962.4091,288.01727,0.6014356,940.03217,145.95433,1.0,940.3774,147.0115,0.14886129
88,1140.5248,561.3223,0.9342022,1012.42474,462.27338,0.8948629,963.2978,287.56775,0.6129098,940.46063,145.81534,1.0,964.02936,286.47543,0.14254664
89,1125.6503,582.68256,0.96734244,1011.9303,464.92743,0.87620425,962.881,287.5806,0.5795639,940.3653,145.80246,1.0,963.7215,286.55988,0.16541158
90,1115.4917,592.3316,0.8526886,1010.55365,466.0968,0.8538855,963.49963,287.68127,0.6173623,940.32074,145.78464,1.0,1128.6143,350.56454,0.20562124
91,1101.4381,603.75543,0.85712457,1009.7694,466.70306,0.8368624,962.79443,287.39557,0.63832366,940.3921,145.7884,1.0,940.69305,146.66081,0.1733332
92,1092.6654,610.16626,0.8921302,1009.03766,467.15143,0.7600195,962.9186,287.08704,0.60841185,940.42126,145.68846,1.0,940.7254,146.45299,0.1940306
93,1083.4923,615.59125,0.7011099,1008.71674,467.2484,0.73895085,963.4028,287.15942,0.6421869,940.457,145.69374,1.0,940.74005,146.48033,0.19838549
94,1076.237,620.45703,0.8663266,1008.187,467.60678,0.7150853,964.2685,286.62302,0.73948455,940.4932,145.64119,1.0,940.79144,146.54724,0.18925667
95,1068.7407,623.2848,0.8558078,1007.8798,467.73236,0.68926764,964.1702,286.4723,0.6978391,940.5994,145.36775,1.0,940.71533,146.35936,0.2108673
96,1061.5524,627.2226,0.902035,1007.7804,467.9559,0.7014419,964.23846,286.31485,0.70606476,940.74506,145.21013,1.0,940.90814,146.04091,0.21635179
97,1056.0052,627.8104,0.7842614,1007.0733,468.12885,0.7046171,964.2562,286.04352,0.701726,940.7344,145.01482,1.0,940.9363,145.81795,0.21216826
98,1051.2292,629.33984,0.4164084,1006.9922,468.22742,0.7046428,964.48224,285.89774,0.6823649,941.0724,144.80751,1.0,941.30695,145.55673,0.22449654
99,1064.3134,714.85974,0.43364534,1006.89667,468.15662,0.7235541,964.45337,286.0598,0.69773096,941.3706,144.69301,1.0,941.55347,145.26389,0.23677437
100,1043.619,631.06494,0.44955975,1006.62915,468.1691,0.7177083,964.55914,285.17038,0.7155754,941.4601,144.6304,1.0,941.5342,144.74547,0.27122387
101,1040.4933,632.22687,0.52494353,1006.6594,468.20358,0.72206295,965.28467,284.92554,0.8618578,941.7553,144.86998,1.0,941.80133,144.89917,0.26305148
102,1041.0651,632.2782,0.57593244,1006.66284,468.20197,0.7157243,965.24194,284.8556,0.8711817,941.5414,144.54623,1.0,941.7574,145.14398,0.24758068
103,1051.5057,629.23376,0.3895636,1007.53204,467.54526,0.70842135,964.8863,285.8441,0.6130337,941.5525,145.03416,1.0,941.562,145.19481,0.21726723
104,1072.9244,621.87036,0.92175263,1008.71924,466.9688,0.751218,964.5488,286.38138,0.5742287,940.7811,145.24997,1.0,940.75415,146.35942,0.20692685
105,1092.2357,612.40466,1.0,1009.4236,467.65842,0.8543094,963.7197,286.71988,0.7325691,940.3221,145.60443,1.0,940.56836,146.91237,0.18276174
106,1109.328,600.0057,0.92769545,1010.461,466.59686,0.90603787,963.3038,287.20474,0.7005771,940.18243,146.16423,1.0,940.5363,147.1669,0.2031679
107,1118.5319,589.274,0.9325863,1010.9331,465.84824,0.9361729,962.55597,287.71292,0.62079644,940.08954,146.17142,1.0,940.4181,147.07292,0.20081766
108,1126.9806,581.0572,0.7276795,1011.34216,465.27548,0.9586135,962.82684,287.96545,0.61361843,939.6722,146.21323,1.0,939.9942,147.16437,0.19396056
109,1132.5096,572.5295,0.77286655,1011.6622,464.82593,0.96780264,962.78033,288.01395,0.59759927,939.45807,146.43358,1.0,939.7716,147.39276,0.19788243
110,1135.6553,567.82794,0.80853117,1012.1705,464.3797,0.9492035,962.13226,288.18777,0.56166637,939.43713,146.39415,1.0,939.7245,147.34361,0.1824136
111,1140.6957,560.4686,0.7354783,1012.3273,463.8345,0.9584799,962.0299,288.04257,0.6133685,939.43524,146.30745,1.0,939.752,147.17412,0.19038531
112,1144.7108,553.4921,0.5456009,1012.4637,462.07523,0.960622,962.2119,288.0573,0.6143165,939.3199,146.38515,1.0,939.65436,147.24786,0.16801752
113,1148.6431,544.4426,0.7376564,1012.64233,461.0369,0.96839124,961.9757,287.961,0.5671444,939.3382,146.47626,1.0,939.66974,147.29697,0.17258735
114,1151.2721,537.61633,0.7028906,1012.81647,460.42007,0.94963497,961.75397,287.8647,0.5373403,939.37494,146.57329,1.0,939.6909,147.49336,0.16798672
115,1154.838,531.6304,0.9575571,1013.1749,459.34357,0.969012,961.809,288.02054,0.56006765,939.3893,146.5684,1.0,939.6996,147.57675,0.16927771
116,1157.006,524.43445,0.7847391,1013.4461,458.4434,1.0,961.65576,287.96597,0.5581231,939.42053,146.6029,1.0,939.74286,147.50317,0.17073031
117,1158.0818,517.842,0.9853162,1014.2372,457.4743,0.93916255,961.24054,287.73203,0.54324704,939.2613,146.63947,1.0,939.55383,147.48988,0.18707205
118,1159.8468,511.21805,0.8686029,1014.1671,456.77133,0.92107594,960.9003,288.34488,0.5773698,939.1229,146.61371,1.0,939.4196,147.51492,0.17944017
119,1160.4755,506.73376,0.92895716,1014.6552,456.31866,0.9017619,961.0718,288.2949,0.54917115,938.9327,146.62259,1.0,939.2472,147.49176,0.17533499
120,1161.9127,502.14853,0.804709,1014.9144,455.77768,0.8753925,960.9517,288.25943,0.5359056,938.79364,146.51138,1.0,939.0195,147.37202,0.17870134
121,1162.9467,495.08447,0.8035708,1015.7764,455.63022,0.79304916,960.92816,288.0365,0.54301435,938.7284,146.27003,1.0,938.9249,147.27219,0.17333739
122,1164.548,490.93326,0.73374176,1017.0682,454.52252,0.83048785,960.87775,288.12674,0.5493724,938.4342,146.0532,1.0,938.64557,147.41954,0.17468978
123,1164.6599,493.40552,0.7349274,1017.26544,454.35565,0.82166296,961.2522,287.6636,0.5261252,939.05865,146.75885,1.0,939.3043,146.94875,0.16818291
124,1164.5186,504.9151,0.82513225,1017.22614,455.22272,0.80827975,961.9191,287.5853,0.5611708,939.4745,146.20018,1.0,939.66675,146.34172,0.16038111
125,1161.6608,518.4847,0.92494667,1017.026,456.14215,0.82648104,964.21545,286.67758,0.74359536,939.8016,146.05016,1.0,940.0085,146.11542,0.17774604
126,1154.6698,536.5742,0.8465567,1016.66974,458.2251,0.8760113,964.54474,286.29794,0.75237805,939.9602,146.04077,1.0,940.1442,146.15242,0.16049066
127,1149.146,549.22687,0.69929636,1016.3606,459.7353,0.90943426,965.08984,286.30807,0.751697,940.3829,145.03389,1.0,965.5639,284.67987,0.16983084
128,1138.0267,568.44666,0.95591223,1016.32965,461.26028,0.8949209,965.2256,286.32968,0.69289494,940.53156,145.91942,1.0,1086.5723,418.84668,0.29029098
129,1130.735,575.7818,0.84770226,1015.7915,462.37375,0.8616994,965.27563,286.29587,0.7422045,940.56085,145.89499,1.0,1085.9569,419.1697,0.31157053
130,1121.9017,585.67725,0.8382729,1015.2825,464.3438,0.90388316,966.4141,286.06702,0.7453909,940.9362,145.6618,1.0,1084.9938,418.62454,0.37570372
131,1113.2229,595.32227,0.78035635,1014.3898,464.85742,0.9191077,966.32385,285.98734,0.7763347,941.03186,145.61357,1.0,1084.6842,418.6095,0.3335518
132,1105.4005,601.1768,0.83913004,1014.5231,464.9621,0.92644125,966.4459,285.90677,0.7976821,940.95386,144.4854,1.0,1084.8945,418.7066,0.35789365
133,1098.0303,606.1678,0.7358359,1014.134,465.49854,0.91226363,966.39795,285.89487,0.7951147,941.316,145.54678,1.0,1084.3392,419.68042,0.3209546
134,1090.9297,610.98303,0.79514754,1013.8138,465.62268,0.8953545,966.7121,285.84573,0.77112067,941.60297,145.46585,1.0,1084.5225,419.9884,0.3149075
135,1082.4517,615.64795,0.4221159,1013.4929,465.89044,0.887908,967.07623,285.3769,0.7769244,941.4878,145.16547,1.0,1084.7074,419.2633,0.3416682
136,1077.2034,618.0524,0.57727563,1013.1681,466.1709,0.86427295,967.32684,285.5169,0.74210787,941.8703,144.89888,1.0,941.74963,144.96915,0.2521468
137,1069.1221,621.5057,0.6443045,1013.03265,466.42123,0.85586774,967.6199,285.2362,0.7564293,942.13837,144.31044,1.0,942.0447,144.39154,0.22679716
138,1063.5841,624.93536,0.7182748,1012.453,466.67004,0.8389685,967.81836,284.88254,0.7338536,942.2824,144.06033,1.0,1084.4933,420.9226,0.20132239
139,1057.5172,627.17505,0.8447684,1011.69336,467.40677,0.82851064,967.9544,285.14395,0.72086805,942.75134,143.95157,1.0,968.34015,283.3034,0.17893682
140,1052.9857,628.0467,0.58813554,1011.6324,467.58282,0.8025655,968.80945,284.1452,0.7136901,943.0742,143.81546,1.0,969.82794,282.8131,0.17764921
141,1052.1559,628.88464,0.581906,1011.856,467.51468,0.8237122,968.72974,284.2315,0.70760244,943.0851,143.78494,1.0,969.7822,282.879,0.19290446
142,1058.6017,628.30945,0.87996256,1012.04504,467.39172,0.82649,968.60376,284.30515,0.6918954,942.78754,143.8812,1.0,969.6397,283.03577,0.21977176
143,1080.9663,618.4008,0.8007813,1013.49414,467.17953,0.8429999,967.9087,285.66507,0.6679103,941.8661,144.36768,1.0,969.04553,284.22455,0.23162852
144,1100.1823,607.45166,0.7182436,1014.7565,466.7078,0.90916544,967.2923,286.33432,0.6806291,941.12885,144.74687,1.0,967.6836,284.57806,0.2074569
145,1159.5287,675.9961,0.60946417,1015.02985,466.0558,0.922044,966.45123,286.79407,0.70057124,940.6418,145.17104,1.0,967.70233,285.536,0.20786303
146,1121.3223,589.7259,0.8364869,1015.50586,465.67407,0.9142866,966.25903,286.94788,0.69676566,940.62317,145.35736,1.0,967.52295,285.70392,0.20773412
