timestamp,quat1,quat2
161224050841,"(0.80523681640625, 0.30841064453125, 0.34991455078125, -0.3660888671875)","(0.5107421875, 0.330078125, -0.24334716796875, -0.7608642578125)"
161224057031,"(0.812255859375, 0.3099365234375, 0.34979248046875, -0.36663818359375)","(0.50897216796875, 0.33013916015625, -0.2431640625, -0.76202392578125)"
161224063066,"(0.812255859375, 0.3099365234375, 0.34979248046875, -0.36663818359375)","(0.50115966796875, 0.33013916015625, -0.2431640625, -0.76202392578125)"
161224071512,"(0.81146240234375, 0.3111572265625, 0.3494873046875, -0.36767578125)","(0.4998779296875, 0.3302001953125, -0.24237060546875, -0.76312255859375)"
161224080989,"(0.810791015625, 0.31182861328125, 0.34930419921875, -0.36871337890625)","(0.49871826171875, 0.33001708984375, -0.24151611328125, -0.76422119140625)"
161224090143,"(0.80987548828125, 0.312744140625, 0.34930419921875, -0.3699951171875)","(0.497802734375, 0.330078125, -0.2403564453125, -0.76519775390625)"
161224096933,"(0.808837890625, 0.3140869140625, 0.34954833984375, -0.370849609375)","(0.4969482421875, 0.33050537109375, -0.2391357421875, -0.76593017578125)"
161224103021,"(0.808837890625, 0.3140869140625, 0.34954833984375, -0.370849609375)","(0.4969482421875, 0.33050537109375, -0.2391357421875, -0.76593017578125)"
161224109367,"(0.8077392578125, 0.31512451171875, 0.35015869140625, -0.37176513671875)","(0.49591064453125, 0.33135986328125, -0.23809814453125, -0.76654052734375)"
161224115470,"(0.8077392578125, 0.31512451171875, 0.35015869140625, -0.37176513671875)","(0.4945068359375, 0.331787109375, -0.2371826171875, -0.76751708984375)"
161224123122,"(0.80657958984375, 0.31640625, 0.35076904296875, -0.37255859375)","(0.4945068359375, 0.331787109375, -0.2371826171875, -0.76751708984375)"
161224131912,"(0.8052978515625, 0.31793212890625, 0.3515625, -0.37322998046875)","(0.49298095703125, 0.3316650390625, -0.23663330078125, -0.76873779296875)"
161224141687,"(0.7960205078125, 0.31927490234375, 0.3529052734375, -0.37396240234375)","(0.49859619140625, 0.3319091796875, -0.23638916015625, -0.77008056640625)"
