scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
45,,,,-9.1999,-3.7676177,18.73433,-8.926938,-3.4482965,16.999043,,,
46,,,,-9.1999,-3.7676177,18.73433,-8.926557,-3.4489467,16.99782,,,
47,,,,-9.196603,-3.7725565,18.723743,-8.922546,-3.4557774,16.985003,,,
48,,,,-9.178145,-3.7639062,18.63047,-8.910919,-3.4465508,16.930386,-8.768749,-2.9515598,14.749108
49,,,,-9.175022,-3.7686098,18.620451,-8.910723,-3.4468863,16.92976,-8.780792,-2.95706,14.763849
50,,,,-9.175022,-3.7686098,18.620451,-8.910723,-3.4468863,16.92976,-8.780792,-2.95706,14.763849
51,,,,-9.188013,-3.7792013,18.649303,-8.919541,-3.4511836,16.94084,-8.777549,-2.9604566,14.76622
52,,,,-9.193671,-3.7854836,18.699406,-8.924096,-3.4598308,16.976967,-8.775593,-2.9674451,14.784894
53,,,,-9.19508,-3.7840002,18.706203,-8.922761,-3.4595985,16.979954,-8.773597,-2.968765,14.786548
54,,,,-9.203948,-3.78168,18.724754,-8.924604,-3.461246,16.987282,-8.776619,-2.9711154,14.80071
55,,,,-9.203061,-3.785365,18.742174,-8.923771,-3.4617395,16.99598,-8.775078,-2.9717114,14.801637
56,,,,-9.21182,-3.7919347,18.793934,-8.931224,-3.4674153,17.04129,-8.77901,-2.9786866,14.828924
57,,,,-9.211224,-3.7895887,18.805817,-8.930541,-3.4675138,17.047583,-8.780185,-2.9775965,14.837174
58,,,,-9.221454,-3.7985582,18.834845,-8.939627,-3.4722667,17.073025,-8.779793,-2.9826365,14.847149
59,,,,-9.240201,-3.807344,18.90384,-8.942848,-3.4786928,17.113468,-8.783693,-2.9912295,14.875011
60,,,,-9.246829,-3.8002493,18.935432,-8.946024,-3.4795735,17.123528,-8.783278,-2.991905,14.87877
61,,,,-9.251993,-3.803948,18.954193,-8.946977,-3.4822335,17.132107,-8.781316,-2.993938,14.880743
62,,,,-9.251801,-3.8039386,18.954124,-8.946977,-3.4822335,17.132107,-8.781316,-2.993938,14.880743
63,-9.716105,-4.241795,21.100786,-9.251849,-3.8002586,18.949432,-8.947273,-3.480473,17.126966,-8.780133,-2.9932208,14.877338
64,-9.643351,-4.2530603,20.873676,-9.252404,-3.799441,18.951212,-8.947273,-3.480473,17.126966,-8.780133,-2.9932208,14.877338
65,-9.598007,-4.261697,20.727808,-9.258043,-3.8008697,18.962671,-8.946855,-3.4825823,17.132719,-8.781509,-2.994489,14.881213
66,-9.586254,-4.277397,20.681108,-9.262266,-3.8008952,18.973549,-8.951352,-3.4845076,17.149038,-8.780081,-2.995409,14.8867035
67,-9.58691,-4.2779803,20.680813,-9.265762,-3.8005695,19.00121,-8.956855,-3.485541,17.16764,-8.778858,-2.9976773,14.891695
68,-9.583735,-4.2789545,20.678366,-9.265741,-3.800609,19.001394,-8.957287,-3.484697,17.169605,-8.779257,-2.997202,14.893488
69,-9.59524,-4.280593,20.729067,-9.269106,-3.8028607,19.020792,-8.959972,-3.4890935,17.184559,-8.775856,-3.0004385,14.89856
70,-9.603994,-4.2835574,20.771666,-9.274063,-3.8040445,19.047882,-8.9620285,-3.4912322,17.203764,-8.771973,-3.004454,14.903953
71,-9.613976,-4.2879596,20.812658,-9.277257,-3.8050456,19.055645,-8.961296,-3.493399,17.209024,-8.770749,-3.0052454,14.907549
72,-9.621572,-4.2869687,20.844942,-9.280143,-3.8067832,19.063538,-8.9618435,-3.4933558,17.2109,-8.771039,-3.0050967,14.908628
73,-9.653242,-4.2794294,20.94094,-9.279186,-3.8068907,19.063936,-8.9618435,-3.4933558,17.2109,-8.771039,-3.0050967,14.908628
74,-9.710747,-4.2635994,21.136148,-9.278996,-3.8077443,19.065329,-8.960657,-3.4934595,17.208757,-8.770753,-3.004972,14.908042
75,-9.775117,-4.2346315,21.340725,-9.276062,-3.81007,19.059511,-8.961934,-3.492743,17.205368,-8.77183,-3.0049388,14.905928
76,,,,-9.272946,-3.8100586,19.05463,-8.960622,-3.4920673,17.201595,-8.771938,-3.0048165,14.905115
77,,,,-9.270334,-3.8120394,19.046143,-8.958612,-3.4927537,17.197332,-8.77063,-3.0044992,14.902324
78,,,,-9.260944,-3.8112855,19.018076,-8.957944,-3.4896739,17.19222,-8.774376,-3.002678,14.9025545
79,-10.164907,-4.1241293,22.645544,-9.254199,-3.8106396,19.006203,-8.957405,-3.4896438,17.190832,-8.77466,-3.0026321,14.90248
80,-10.253731,-4.0734615,22.886143,-9.251512,-3.810495,19.000576,-8.957165,-3.4896388,17.190756,-8.775045,-3.0025017,14.902668
81,-10.321326,-4.022242,23.109426,-9.246924,-3.8090405,18.98768,-8.957527,-3.4885676,17.186525,-8.78005,-3.0004182,14.90361
82,-10.382683,-3.9820545,23.32396,-9.246366,-3.8090594,18.987114,-8.956948,-3.4878218,17.18427,-8.7801285,-3.0002654,14.903444
83,-10.4406805,-3.9243412,23.467567,-9.246023,-3.809941,18.983803,-8.954922,-3.4874718,17.18229,-8.781186,-2.9990096,14.901871
84,,,,-9.247442,-3.8089483,18.982622,-8.953167,-3.4879665,17.17511,-8.781006,-2.9989486,14.901801
85,,,,-9.242976,-3.8091028,18.96556,-8.9527235,-3.4855251,17.167423,-8.783349,-2.9965127,14.896917
86,,,,-9.2431965,-3.8099978,18.95766,-8.950139,-3.4843931,17.15549,-8.780294,-2.996527,14.888317
87,,,,-9.243614,-3.8098736,18.95794,-8.949499,-3.484491,17.153355,-8.780351,-2.9964483,14.887478
88,,,,-9.243895,-3.8098876,18.958038,-8.949948,-3.4844403,17.153547,-8.779875,-2.9963934,14.887108
89,,,,-9.244748,-3.8085306,18.961271,-8.951111,-3.4843864,17.155598,-8.779855,-2.9961727,14.88747
90,,,,-9.245768,-3.8087924,18.96394,-8.950961,-3.484578,17.155144,-8.779565,-2.9961195,14.887511
91,,,,-9.245892,-3.8088815,18.964216,-8.950973,-3.4845781,17.155148,-8.779034,-2.9958885,14.886423
92,,,,-9.245841,-3.8088973,18.96418,-8.949825,-3.4852414,17.153929,-8.77919,-2.995923,14.886439
93,,,,-9.244532,-3.8104048,18.961441,-8.94852,-3.4861126,17.150747,-8.778357,-2.9963152,14.885827
94,,,,-9.24525,-3.8103757,18.9613,-8.948048,-3.4858806,17.149635,-8.77791,-2.9962976,14.88526
95,,,,-9.245026,-3.8104,18.960876,-8.947393,-3.48627,17.148521,-8.777828,-2.996289,14.884975
96,,,,-9.245641,-3.8088946,18.963228,-8.9472,-3.4861743,17.148064,-8.775996,-2.9967282,14.883933
97,,,,-9.245962,-3.808889,18.96324,-8.946593,-3.486361,17.147224,-8.77587,-2.9969912,14.883526
98,,,,-9.246292,-3.8089108,18.963352,-8.946426,-3.486515,17.146963,-8.775981,-2.9971414,14.883389
99,,,,-9.247858,-3.8089898,18.963907,-8.947478,-3.486703,17.147614,-8.775537,-2.9979272,14.882412
100,,,,-9.250028,-3.8130147,18.968185,-8.950846,-3.4925947,17.160288,-8.773068,-3.0046792,14.88593
101,,,,-9.256121,-3.836452,19.013313,-8.960475,-3.5135942,17.194532,-8.772742,-3.0211818,14.906539
102,,,,-9.275905,-3.881043,19.102446,-8.972628,-3.5529096,17.260149,-8.771053,-3.0573058,14.955221
103,,,,-9.297151,-3.9254816,19.2018,-8.981731,-3.591931,17.340412,-8.779613,-3.0892458,15.020444
104,,,,-9.307668,-3.9476693,19.294085,-9.000263,-3.6108027,17.42779,-8.774858,-3.105954,15.070759
105,,,,-9.325802,-3.9554548,19.391739,-9.008978,-3.6166592,17.49986,-8.783918,-3.110906,15.124391
106,,,,-9.325802,-3.9554548,19.391739,-9.008978,-3.6166592,17.49986,-8.784443,-3.1108923,15.124539
107,,,,-9.323226,-3.955302,19.390812,-9.008978,-3.6166592,17.49986,-8.784443,-3.1108923,15.124539
108,,,,-9.321283,-3.9525745,19.377956,-9.00498,-3.6152163,17.488943,-8.784777,-3.1111145,15.11904
109,,,,-9.317837,-3.9556708,19.367311,-9.004291,-3.6156263,17.486374,-8.78492,-3.1103714,15.1170225
110,,,,-9.316646,-3.9531066,19.357578,-9.004271,-3.6139019,17.48103,-8.783581,-3.1094136,15.112321
111,,,,-9.316308,-3.956127,19.347136,-9.000775,-3.6152651,17.466839,-8.781703,-3.1113138,15.1022005
112,-10.489093,-4.1804748,23.812279,-9.316687,-3.957324,19.344545,-9.001944,-3.6150348,17.46557,-8.780487,-3.111036,15.099245
113,-10.408486,-4.218687,23.525583,-9.305668,-3.9473777,19.287733,-8.998632,-3.6095383,17.428532,-8.778529,-3.10736,15.077189
114,,,,-9.3056345,-3.9481084,19.279951,-8.998248,-3.6107404,17.422064,-8.779603,-3.1058693,15.071635
115,-10.240184,-4.3084264,22.93754,-9.30815,-3.9464538,19.246384,-8.993632,-3.6057281,17.385374,-8.781441,-3.0998166,15.055872
116,,,,-9.298526,-3.9428742,19.186832,-8.989325,-3.6048188,17.345528,-8.781377,-3.0950687,15.035431
117,-10.048003,-4.356673,22.196407,-9.303207,-3.9363167,19.159061,-8.987149,-3.6004405,17.30566,-8.780567,-3.0883214,15.011408
118,-9.965252,-4.3825765,21.919088,-9.303849,-3.935379,19.157827,-8.986912,-3.5995262,17.302809,-8.780474,-3.086754,15.007417
119,-9.875478,-4.4021187,21.630543,-9.308587,-3.9360445,19.156652,-8.989156,-3.6000936,17.301798,-8.781189,-3.0864785,15.007605
120,-9.795474,-4.412249,21.359667,-9.312854,-3.935129,19.160378,-8.9917345,-3.600167,17.30262,-8.780957,-3.0869408,15.006867
121,-9.726084,-4.422278,21.109062,-9.3142,-3.933963,19.16533,-8.991072,-3.5996451,17.304136,-8.7799,-3.0872529,15.006372
122,-9.7015295,-4.4410634,20.99868,-9.318629,-3.937496,19.175533,-8.993667,-3.6023047,17.316103,-8.779058,-3.0894058,15.008058
123,-9.672841,-4.460181,20.8734,-9.322337,-3.9384592,19.184614,-8.994416,-3.6023138,17.317354,-8.779426,-3.0890923,15.009088
124,-9.658526,-4.461635,20.827326,-9.324849,-3.9381466,19.201712,-8.996108,-3.6043403,17.332132,-8.780735,-3.0922825,15.016431
125,-9.645828,-4.467282,20.81547,-9.335631,-3.9455025,19.259426,-9.006264,-3.6108265,17.378124,-8.777349,-3.0979125,15.036664
126,-9.643212,-4.468215,20.813269,-9.335751,-3.9440866,19.275923,-9.010109,-3.6115785,17.39342,-8.776018,-3.0991917,15.041636
127,-9.650668,-4.4703093,20.845201,-9.339266,-3.947026,19.293516,-9.016256,-3.6137679,17.415476,-8.771779,-3.1037273,15.04523
128,-9.654673,-4.472382,20.859632,-9.343519,-3.9484122,19.305006,-9.015644,-3.6141481,17.4154,-8.771538,-3.1037505,15.045428
129,-9.6656475,-4.4708643,20.897224,-9.348911,-3.9514787,19.315681,-9.017559,-3.6158311,17.426983,-8.770544,-3.1060011,15.049186
130,-9.670421,-4.471708,20.926474,-9.35059,-3.9526808,19.32133,-9.017233,-3.6178613,17.430155,-8.769282,-3.1071908,15.04987
131,-9.67677,-4.470121,20.947554,-9.351829,-3.9507174,19.326172,-9.016399,-3.6182091,17.433205,-8.771303,-3.107245,15.053909
132,-9.68956,-4.469096,20.988207,-9.352819,-3.9504774,19.328358,-9.016934,-3.617916,17.434607,-8.773789,-3.106732,15.057302
133,-9.727994,-4.4659977,21.113031,-9.355644,-3.9515443,19.33571,-9.017074,-3.6179204,17.43465,-8.773944,-3.1065114,15.057717
134,-9.780455,-4.445589,21.322214,-9.363549,-3.9554844,19.35608,-9.01694,-3.6181123,17.434206,-8.774864,-3.1062388,15.058152
135,-9.853231,-4.425631,21.587608,-9.362945,-3.955767,19.35525,-9.016825,-3.6179209,17.43312,-8.775392,-3.1061122,15.058361
136,-9.959945,-4.410884,21.945683,-9.357434,-3.9582877,19.347563,-9.017302,-3.6164951,17.429314,-8.7781515,-3.1044858,15.057918
137,-10.077133,-4.388728,22.340998,-9.352991,-3.9590197,19.337019,-9.01686,-3.6165342,17.427162,-8.778488,-3.1045868,15.057695
138,-10.12007,-4.402548,22.491554,-9.35199,-3.9622386,19.328453,-9.0196085,-3.6149223,17.429296,-8.78054,-3.1041272,15.058119
139,-10.163376,-4.4186883,22.634476,-9.35427,-3.9632473,19.325825,-9.020485,-3.6157703,17.428503,-8.785893,-3.1029024,15.059812
