scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,forearm,forearm,forearm
coords,x,y,z,x,y,z,x,y,z,x,y,z
87,,,,,,,-8.863295,-2.4326,21.413342,,,
88,,,,,,,-8.862959,-2.4324586,21.412088,-7.7534575,-2.7901301,23.698734
89,,,,,,,-8.863777,-2.4317262,21.4152,-7.753789,-2.7890325,23.701305
90,-9.121798,-2.001159,19.040873,,,,-8.859287,-2.4313593,21.415388,-7.752889,-2.786588,23.707113
91,-9.304997,-1.9898535,19.059004,,,,-8.855825,-2.427524,21.421078,-7.747497,-2.7807298,23.704485
92,-9.516242,-1.9440218,19.16233,,,,-8.851729,-2.4217224,21.41515,-7.746395,-2.7717903,23.71321
93,-9.717126,-1.9451219,19.12927,,,,-8.8532915,-2.4200563,21.41856,-7.742731,-2.7699885,23.700401
94,-9.905862,-1.9671344,19.12148,,,,-8.856133,-2.4178462,21.421175,-7.7441907,-2.7682524,23.702105
95,-10.067315,-1.9744554,19.136686,-9.554894,-2.2472944,20.276428,-8.855362,-2.4130218,21.41807,-7.744439,-2.7586687,23.711
96,-10.208845,-1.9928503,19.131214,-9.569742,-2.247851,20.280859,-8.857574,-2.4108307,21.420568,-7.74333,-2.7540615,23.714985
97,-10.3429,-2.0004287,19.166075,-9.572793,-2.24719,20.260967,-8.8542795,-2.4093907,21.409693,-7.741873,-2.747513,23.705637
98,-10.407792,-2.0182595,19.147703,-9.567047,-2.2484753,20.22634,-8.856195,-2.402741,21.393265,-7.7403874,-2.7414465,23.689335
99,-10.494642,-2.021495,19.1548,-9.582202,-2.249335,20.188894,-8.870715,-2.39026,21.375837,-7.7511992,-2.7313302,23.674097
100,-10.545101,-2.0071363,19.090689,-9.605257,-2.2286158,20.114128,-8.883885,-2.3615758,21.285877,-7.7469764,-2.6877704,23.574867
101,-10.594838,-1.97285,18.9631,-9.644619,-2.180411,19.982054,-8.919609,-2.3058307,21.151316,-7.778261,-2.602965,23.445877
102,-10.654042,-1.9370522,18.831451,-9.696509,-2.1242154,19.857517,-8.973342,-2.2318308,21.02598,-7.8226695,-2.4864452,23.327791
103,-10.715362,-1.9021086,18.684355,-9.7722645,-2.0616796,19.741758,-9.031711,-2.1545515,20.884285,-7.8567886,-2.3685253,23.16316
104,-10.750402,-1.8587868,18.577774,-9.785737,-2.008492,19.582932,-9.052426,-2.0612452,20.764803,-7.8509483,-2.2383618,23.012674
105,-10.78193,-1.8221108,18.410378,-9.796472,-1.9521544,19.405855,-9.046885,-1.9616674,20.576393,-7.8485465,-2.0657806,22.838087
106,-10.829687,-1.791002,18.224665,-9.824895,-1.8868234,19.216314,-9.064718,-1.8585502,20.379934,-7.8528886,-1.8814082,22.65207
107,-10.899279,-1.7566597,18.01925,-9.908544,-1.8092239,19.042604,-9.133801,-1.7585924,20.182045,-7.8651853,-1.7219384,22.402567
108,-10.920146,-1.719963,17.872257,,,,-9.130328,-1.6622828,20.028206,-7.8641763,-1.5875365,22.24415
109,-10.86429,-1.7089492,17.757181,,,,-9.076037,-1.6248269,19.88569,-7.821378,-1.5011514,22.115753
